day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,num_collisions
6,2020,8,29,29/08/2020,32.2,21.1,1015.2,10,11.3,22,29.9,41,24.1,0,0,0,291
5,2020,8,28,28/08/2020,35.2,29.1,1017.2,9.5,4.9,12,22.6,39.9,28.9,0,0,0,306
4,2020,8,27,27/08/2020,36,26.9,1034.5,9.4,13.4,26,32.1,44.1,26.1,0,0,0,343
3,2020,8,26,26/08/2020,36.7,27.5,1030.1,9.2,10.7,18.1,25.1,45,24.1,0,0,0,310
2,2020,8,25,25/08/2020,34.4,16.2,1030.9,10,10.7,18.1,25.1,43,28,0,0,0,286
1,2020,8,24,24/08/2020,50.9,43.2,1027.7,10,4.2,9.9,13.9,62.1,39,0,0,0,320
7,2020,8,23,23/08/2020,53.4,40,1022.3,9.8,12.6,19,27,66.9,45,0,0,0,316
6,2020,8,22,22/08/2020,43.8,37.2,1014.2,9.6,13.3,19,22.9,57,39,0,0,0,328
5,2020,8,21,21/08/2020,47.5,44.1,1022.6,5.9,9.8,17.1,20,54,32,0.09,0,1,348
4,2020,8,20,20/08/2020,50.9,40.7,1030.6,10,12.5,15.9,21,64.9,48,0,0,0,306
3,2020,8,19,19/08/2020,42.8,35.9,1020,6.1,15.6,24.1,33,57,33.1,0.13,0,1,286
2,2020,8,18,18/08/2020,38.8,32.3,1008,8.8,12.3,17.1,22.9,45,21,0,3,0,311
1,2020,8,17,17/08/2020,38,25.6,1008.8,10,15,21,28,41,33.1,0,0,0,288
7,2020,8,16,16/08/2020,49.2,46,1011.3,8.6,14.7,18.1,26,55.9,36,0,0,0,279
6,2020,8,15,15/08/2020,48.1,30,1026.3,10,7.5,12,19.1,55.9,42.1,0,0,0,313
5,2020,8,14,14/08/2020,52.8,37.7,1020.7,10,8.9,13,18.1,57.9,46.9,0.04,0,0,344
4,2020,8,13,13/08/2020,56.5,48.2,1026.6,10,15.5,22,25.1,63,51.1,0,0,0,275
3,2020,8,12,12/08/2020,52.2,47.8,1019.3,7,14.4,18.1,22.9,57.9,39,0,0,0,293
2,2020,8,11,11/08/2020,51,47.1,995.4,4.2,20.9,29.9,38.1,57.2,45,0.18,0,1,317
1,2020,8,10,10/08/2020,54.3,51.1,1003.1,7.6,15.7,21,29.9,64,51.1,0.16,0,0,320
7,2020,8,9,09/08/2020,60.5,58.5,1017.8,6.3,8.5,15.9,19,70,55.9,0.1,0,0,283
6,2020,8,8,08/08/2020,62.1,58.7,1019.7,10,6.9,13,0,77,55.9,0,0,0,260
5,2020,8,7,07/08/2020,62.1,50.3,1019.7,10,4.1,9.9,19.1,73,52,0,0,0,337
4,2020,8,6,06/08/2020,59.4,57.4,1011.5,7.9,6.1,11.1,0,63,55,0.01,0,0,356
3,2020,8,5,05/08/2020,50.1,40.8,1019.1,8.5,8.6,13,18.2,64,43,0,0,0,345
2,2020,8,4,04/08/2020,51.2,48.4,1022.8,6.1,14.5,20,26,55,39,0.22,0,0,451
1,2020,8,3,03/08/2020,49.8,41.1,1015.5,8.6,8.4,13,0,68,45,0,0,1,353
7,2020,8,2,02/08/2020,51.5,38.9,1024.1,9.9,10.5,17.1,22,62.1,41,0.38,0,0,286
6,2020,8,1,01/08/2020,42.2,34.3,1025.6,10,6,9.9,15,48.9,30,0,0,0,375
5,2020,7,31,31/07/2020,37.3,24.5,1017.3,10,13.2,20,28,42.1,30.9,0,0,0,343
4,2020,7,30,30/07/2020,40.4,21.5,1018.3,10,13.1,19,31.1,45,28,0,0,0,300
3,2020,7,29,29/07/2020,42.5,41.5,1021.5,6.4,12.3,22.9,31.1,48.9,39,0.21,0,1,318
2,2020,7,28,28/07/2020,34.9,20.3,1023.6,10,12.5,20,26,43,19.9,0,0,0,298
1,2020,7,27,27/07/2020,36.5,25.6,1014.8,10,7.2,13,20,45,24.1,0,0,0,320
7,2020,7,26,26/07/2020,48.2,36,1003.4,10,5.2,13,25.1,53.6,46,0,0,0,313
6,2020,7,25,25/07/2020,55.9,51.1,1025.2,9.6,6,9.9,0,64,43,0,0,1,291
5,2020,7,24,24/07/2020,54.5,51.8,1018.5,4.9,28.8,34,47,57,53.6,0.72,0,0,312
4,2020,7,23,23/07/2020,51.9,51.2,1014.6,2.1,15.2,22.9,29.9,55.9,44.1,0.01,0,1,332
3,2020,7,22,22/07/2020,55,50.7,1003,7,18.3,28,36.9,60.1,52,0.12,0,0,290
2,2020,7,21,21/07/2020,46,44.1,1015.9,5.1,12.2,18.1,25.1,53.6,33.1,0.05,0,1,331
1,2020,7,20,20/07/2020,40.1,32.7,1027,9.3,7.9,14,20,50,30,0,0,0,281
7,2020,7,19,19/07/2020,47.5,34.1,1027.6,10,6.8,15,20,57.9,36,0,0,0,313
6,2020,7,18,18/07/2020,55,46.1,1017.8,8.1,9.8,14,24.1,62.1,45,0,0,0,316
5,2020,7,17,17/07/2020,66.7,61.7,1014.8,9.6,7.8,12,19.1,77,61,0,0,0,308
4,2020,7,16,16/07/2020,70.1,66.5,1017.8,7.9,6.4,9.9,14.8,77,48.9,0,0,1,322
3,2020,7,15,15/07/2020,62.7,59.1,1021,10,9.3,12,24.3,71.1,50,0,0,0,268
2,2020,7,14,14/07/2020,39.6,33.6,1013.5,9.9,23.4,29.9,40,43,36,0.11,0,0,320
1,2020,7,13,13/07/2020,35.9,30.3,996.6,6.5,19.7,31.1,42.9,44.6,28.9,0.13,2,1,290
7,2020,7,12,12/07/2020,32.3,29.1,1018.9,6.3,9.2,22.9,31.1,37.4,24.1,0.1,8,0,292
6,2020,7,11,11/07/2020,37.3,33.7,1028.5,6.5,3.3,8,0,46,19.9,0,0,1,274
5,2020,7,10,10/07/2020,51.9,46.9,1014.7,5.3,15.7,22,28,57,37,0,0,1,296
4,2020,7,9,09/07/2020,52.2,47.6,1019.8,9.8,14.6,20,26,59,46,0,0,0,313
3,2020,7,8,08/07/2020,56.3,41.6,1021.8,10,16,24.1,31.1,69.1,48,0.02,0,0,267
2,2020,7,7,07/07/2020,64.8,58.4,1023.8,8.4,3.3,8,0,75.9,55.9,0.01,0,1,243
1,2020,7,6,06/07/2020,53.2,44.9,1008.5,10,7.9,13,21,68,48.9,2.37,0,0,257
7,2020,7,5,05/07/2020,47.3,43.5,1009.6,7.9,12.8,26,29.9,50,45,0.71,0,0,290
6,2020,7,4,04/07/2020,41.2,33.6,1013,9.7,17.3,22.9,29.9,46.9,36,0.11,0,0,278
5,2020,7,3,03/07/2020,35.6,25.1,1024.8,10,4.8,8,0,41,30.9,0,0,0,302
4,2020,7,2,02/07/2020,36.5,22.1,1015.4,8.2,10.3,20,29.9,46.9,30.9,0.07,0,0,340
3,2020,7,1,01/07/2020,40.4,32.9,1018.5,10,10.1,14,0,48,30.9,0,0,0,259
2,2020,6,30,30/06/2020,39.8,25.4,1018.6,10,8.7,18.1,25.1,50,33.1,0,0,0,278
1,2020,6,29,29/06/2020,35,33.4,995.9,3.4,31,44.1,58.1,46,27,1.54,0,1,301
7,2020,6,28,28/06/2020,34.2,19.7,1013.3,10,17.5,32.1,47,39,28.9,0.03,0,0,240
6,2020,6,27,27/06/2020,39.3,20.6,1021.6,10,16.5,24.1,28.9,61,33.1,1.22,0,0,273
5,2020,6,26,26/06/2020,46.8,37.5,1022.8,7.2,12.6,21,25.1,50,37.9,0.39,0,0,337
4,2020,6,25,25/06/2020,43.8,37.8,1017.9,8.4,15.2,20,28.9,51.1,42.1,0.55,0,0,250
3,2020,6,24,24/06/2020,34.7,23.9,1024,10,7.5,13,19,43,21.9,0,3.1,0,300
2,2020,6,23,23/06/2020,40.8,38.4,1012.4,3.5,17.9,31.1,44.1,54,32,1.44,1.2,1,291
1,2020,6,22,22/06/2020,46.6,43.4,1015,8.9,10.1,22.9,28.9,54,39,0,0,0,295
7,2020,6,21,21/06/2020,52.5,48.6,1018.9,6.4,13.6,18.1,25.2,57.9,44.1,0,0,0,245
6,2020,6,20,20/06/2020,56.2,53.1,1005.6,3.3,11,17.1,22.9,59,54,1.62,0,1,246
5,2020,6,19,19/06/2020,61.8,58.6,1013.6,4.6,12.6,18.1,26,66,57.9,0,0,1,306
4,2020,6,18,18/06/2020,67,60.2,1014.4,5.9,6.8,13,20,79,61,0,0,1,226
3,2020,6,17,17/06/2020,69.1,62.1,1015.2,10,8.5,13,0,81,63,0,0,0,244
2,2020,6,16,16/06/2020,71.8,62.1,1015.9,10,8.4,14,0,81,60.1,0,0,0,259
1,2020,6,15,15/06/2020,72.3,70.9,1009.1,6.3,12.4,18.1,24.1,78.1,68,0,0,0,223
7,2020,6,14,14/06/2020,69.8,68,1023.5,1.8,11.9,15,21,75,68,0.02,0,1,228
6,2020,6,13,13/06/2020,60.5,55.7,1022.9,8.8,9.7,18.1,24.1,70,52,0,0,1,282
5,2020,6,12,12/06/2020,57.1,48.6,1022.4,9.8,11,15.9,21,71.1,46,0,0,0,277
4,2020,6,11,11/06/2020,59.9,56.3,1016.6,9.4,17.6,22,28.9,61,57.2,1.08,0,0,251
3,2020,6,10,10/06/2020,51.9,38.2,1020.6,10,9,17.1,13.9,61,39.9,0,0,0,238
2,2020,6,9,09/06/2020,44.4,32.8,1022.1,10,3.6,14,19,51.8,39.9,0,0,0,251
1,2020,6,8,08/06/2020,44.8,41.3,996.1,4.3,20.5,28,36.9,46.9,30,0.67,0,0,235
7,2020,6,7,07/06/2020,34.8,25.3,1033.2,10,7,13,20,41,30,0,0,0,206
6,2020,6,6,06/06/2020,37.9,28.3,1009.4,9.5,11.2,21,28,50,33.1,0.03,0,0,262
5,2020,6,5,05/06/2020,44.8,44.6,1003.8,2.9,8.8,18.1,26,52,37.9,0.14,0,1,248
4,2020,6,4,04/06/2020,36.6,19.2,1013.3,10,15.4,20,28.9,46.9,34,0,0,0,245
3,2020,6,3,03/06/2020,31.1,22.4,1020.8,5.8,10.9,25.1,34,35.6,26.1,0,0,0,216
2,2020,6,2,02/06/2020,50.6,42.9,1013.3,9.8,13.3,25.1,33,57.9,37.9,0,0,0,197
1,2020,6,1,01/06/2020,60.5,54.2,1023.5,9.7,12.4,20,27,66,55.9,0.01,0,0,196
7,2020,5,31,31/05/2020,43.2,34,1024.6,10,10.1,18.1,27,59,33.1,0,0,0,208
6,2020,5,30,30/05/2020,42.6,27.1,1024.5,9.9,2.8,13,19,46.9,33.8,0,2,0,226
5,2020,5,29,29/05/2020,59.9,53.2,1022.2,9.6,7.6,15,21,70,52,0,0,0,258
4,2020,5,28,28/05/2020,67.8,62.5,1013.3,9.1,7.5,13,20.9,77,61,0,0,0,209
3,2020,5,27,27/05/2020,68.4,57.3,1009.6,9.5,3,16.9,21,75.9,60.8,0.04,0,0,239
2,2020,5,26,26/05/2020,66.5,66.2,1019.1,3.2,12.8,18.1,20,72,52,0,0,1,224
1,2020,5,25,25/05/2020,67.4,62.1,1013.8,10,10.4,17.1,22,75.9,61,0,0,0,214
7,2020,5,24,24/05/2020,67.3,66.8,1007,5.4,8.9,18.1,22.9,73,64,0.5,0,1,197
6,2020,5,23,23/05/2020,53.4,47.2,1022.7,7.6,14.3,27,38.1,62.6,44.1,0,0,0,193
5,2020,5,22,22/05/2020,65,60.6,1024,5.3,5,11.1,0,72,57,0,0,1,264
4,2020,5,21,21/05/2020,73.4,69.9,1015.3,4.7,7.6,13,0,82,69.1,0,0,1,212
3,2020,5,20,20/05/2020,74,65.1,1012.3,8.1,9.7,14,22,82,66.9,0,0,1,192
2,2020,5,19,19/05/2020,67.2,65.9,1009.6,4.1,8.9,20,25.1,72,64,0,0,1,229
1,2020,5,18,18/05/2020,66.1,57.9,1010.5,7,5.2,15,21,75,57,0.01,0,1,185
7,2020,5,17,17/05/2020,69.7,67,1014.5,7.4,12,15,21,73.9,64,0,0,0,171
6,2020,5,16,16/05/2020,46.8,38.6,1025.8,10,5.2,11.1,0,57.9,34,0,0,0,217
5,2020,5,15,15/05/2020,51.5,44,1027,10,4.6,8.9,0,62.1,41,0,0,0,242
4,2020,5,14,14/05/2020,67.9,57.5,1016.8,10,6.3,9.9,0,77,59,0,0,0,171
3,2020,5,13,13/05/2020,62.1,52.1,1021.7,10,8,12,18.1,75,53.1,0,0,0,212
2,2020,5,12,12/05/2020,39.3,29.8,1022.2,9.9,10.4,18.1,24.1,50,27,0,0,0,191
1,2020,5,11,11/05/2020,43.8,38.5,1021.7,8.5,9.7,20,27,53.6,33.1,0,0,0,173
7,2020,5,10,10/05/2020,46.8,41.4,1025.9,9.8,17.1,22,27,55,37,0,0,0,163
6,2020,5,9,09/05/2020,26.9,10,1025,10,10.2,17.1,22,30,21.9,0,1.2,0,148
5,2020,5,8,08/05/2020,35.5,28.2,1004,9.6,12,22,29.9,44.1,30,0.01,2,1,177
4,2020,5,7,07/05/2020,31.7,25.8,1015.2,6.1,8.9,13,14.8,41,28.9,0.03,1.2,1,175
3,2020,5,6,06/05/2020,41,34.3,1020.2,9.9,9.2,18.1,22.9,48,36,0.03,0,0,184
2,2020,5,5,05/05/2020,35.2,22.5,1018.1,9.5,21,38.1,49,46,26.1,0,0,0,174
1,2020,5,4,04/05/2020,27,19.7,1003.6,6.9,11,25.1,32.1,36,19.9,0,9.1,0,174
7,2020,5,3,03/05/2020,37.1,27.6,1022.3,9.9,7,15.9,26.1,46.9,24.1,0,0,0,167
6,2020,5,2,02/05/2020,37.5,28.8,1022.7,9.3,7.1,21,28,44.6,34,0.59,0,0,189
5,2020,5,1,01/05/2020,40.2,35.7,989.5,5.7,20.1,35.9,47,50,30,1.41,13,1,186
4,2020,4,30,30/04/2020,69.9,68.2,1012.5,3.9,9.8,27,36.9,75.9,64.4,0,0,1,173
3,2020,4,29,29/04/2020,68.5,66.8,1012,6.3,9,13,14.8,77,66,0.01,0,1,137
2,2020,4,28,28/04/2020,51.5,38.3,1027.1,10,9.4,17.1,26,63,48,0,0,0,185
